Rank,Theme,Score (0-100),BG,FG,FG/BG Contrast,FG/BG SC-1.4.3/1.4.6 Level,Palette 0,P0 vs BG Contrast,P0 vs BG SC-1.4.3/1.4.6,Palette 1,P1 vs BG Contrast,P1 vs BG SC-1.4.3/1.4.6,Palette 2,P2 vs BG Contrast,P2 vs BG SC-1.4.3/1.4.6,Palette 3,P3 vs BG Contrast,P3 vs BG SC-1.4.3/1.4.6,Palette 4,P4 vs BG Contrast,P4 vs BG SC-1.4.3/1.4.6,Palette 5,P5 vs BG Contrast,P5 vs BG SC-1.4.3/1.4.6,Palette 6,P6 vs BG Contrast,P6 vs BG SC-1.4.3/1.4.6,Palette 7,P7 vs BG Contrast,P7 vs BG SC-1.4.3/1.4.6,Palette 8,P8 vs BG Contrast,P8 vs BG SC-1.4.3/1.4.6,Palette 9,P9 vs BG Contrast,P9 vs BG SC-1.4.3/1.4.6,Palette 10,P10 vs BG Contrast,P10 vs BG SC-1.4.3/1.4.6,Palette 11,P11 vs BG Contrast,P11 vs BG SC-1.4.3/1.4.6,Palette 12,P12 vs BG Contrast,P12 vs BG SC-1.4.3/1.4.6,Palette 13,P13 vs BG Contrast,P13 vs BG SC-1.4.3/1.4.6,Palette 14,P14 vs BG Contrast,P14 vs BG SC-1.4.3/1.4.6,Palette 15,P15 vs BG Contrast,P15 vs BG SC-1.4.3/1.4.6,Palette SC-1.4.3 AA Normal (>=4.5:1),Palette SC-1.4.3 AA Large (>=3:1),Palette SC-1.4.6 AAA Normal (>=7:1),Palette SC-1.4.6 AAA Large (>=4.5:1),Cursor Color,Cursor vs BG Contrast,Cursor vs BG SC-1.4.11 (>=3:1),Cursor Text Color,CursorTxt vs Cursor Contrast,CursorTxt vs Cursor SC-1.4.3/1.4.6,Selection BG,Selection FG,SelFG vs SelBG Contrast,SelFG vs SelBG SC-1.4.3/1.4.6,SelBG vs BG Contrast,SelBG vs BG SC-1.4.11 (>=3:1),Blue Light Index,Color Temperature (K),Palette Min DeltaE,Palette Hue StdDev (deg),APCA FG/BG (Lc),APCA Palette Body (|Lc|>=75),APCA Palette Large (|Lc|>=60)
32,Monokai Vivid,70,#121212,#F9F9F9,17.79:1,AAA,#121212,1.00:1,Fail,#FA2934,4.85:1,AA,#98E123,11.71:1,AAA,#FFF30A,16.13:1,AAA,#0443FF,2.90:1,Fail,#F800F8,5.66:1,AA,#01B6ED,7.95:1,AAA,#FFFFFF,18.73:1,AAA,#838383,4.94:1,AA,#F6669D,6.52:1,AA,#B1E05F,12.22:1,AAA,#FFF26D,16.21:1,AAA,#0443FF,2.90:1,Fail,#F200F6,5.45:1,AA,#51CEFF,10.37:1,AAA,#FFFFFF,18.73:1,AAA,13/16,13/16,8/16,13/16,#FB0007,4.55:1,Pass,#FF8C95,1.85:1,Fail,#FFFFFF,#000000,21.00:1,AAA,18.73:1,Pass,0.333,6503,0.00,118.56,-103.3,6/16,7/16
33,Modus Vivendi Tinted,70,#0D0E1C,#FFFFFF,19.15:1,AAA,#0D0E1C,1.00:1,Fail,#FF5F59,6.41:1,AA,#44BC44,7.77:1,AAA,#D0BC00,9.92:1,AAA,#2FAFFF,7.93:1,AAA,#FEACD0,10.97:1,AAA,#00D3D0,10.24:1,AAA,#A6A6A6,7.87:1,AAA,#595959,2.73:1,Fail,#FF6B55,6.83:1,AA,#00C06F,8.00:1,AAA,#FEC43F,12.02:1,AAA,#79A8FF,8.08:1,AAA,#B6A0FF,8.63:1,AAA,#6AE4B9,12.23:1,AAA,#FFFFFF,19.15:1,AAA,14/16,14/16,12/16,14/16,#FF66FF,7.84:1,Pass,#0D0E1C,7.84:1,AAA,#555A66,#FFFFFF,6.91:1,AA,2.77:1,Fail,0.580,25000,7.29,103.37,-107.5,3/16,6/16
34,Nocturnal Winter,69,#0D0D17,#E6E5E5,15.37:1,AAA,#4D4D4D,2.29:1,Fail,#F12D52,4.82:1,AA,#09CD7E,9.24:1,AAA,#F5F17A,16.32:1,AAA,#3182E0,4.97:1,AA,#FF2B6D,5.35:1,AA,#09C87A,8.79:1,AAA,#FCFCFC,18.83:1,AAA,#808080,4.89:1,AA,#F16D86,6.69:1,AA,#0AE78D,11.80:1,AAA,#FFFC67,17.82:1,AAA,#6096FF,6.72:1,AA,#FF78A2,7.78:1,AAA,#0AE78D,11.80:1,AAA,#FFFFFF,19.32:1,AAA,15/16,15/16,9/16,15/16,#E6E5E5,15.37:1,Pass,#A6A6A6,1.94:1,Fail,#ADBDD0,#000000,10.97:1,AAA,10.09:1,Pass,0.516,18812,0.00,84.84,-90.8,6/16,7/16
35,Niji,69,#141515,#FFFFFF,18.30:1,AAA,#333333,1.45:1,Fail,#D23E08,3.86:1,AA-Large,#54CA74,8.78:1,AAA,#FFF700,16.17:1,AAA,#2AB9FF,8.26:1,AAA,#FF50DA,6.46:1,AA,#1EF9F5,13.87:1,AAA,#DDD0C4,12.10:1,AAA,#515151,2.30:1,Fail,#FFB7B7,11.07:1,AAA,#C1FFAE,15.84:1,AAA,#FCFFB8,17.54:1,AAA,#8EFFF3,15.46:1,AAA,#FFA2ED,10.14:1,AAA,#BCFFC7,15.91:1,AAA,#FFFFFF,18.30:1,AAA,13/16,14/16,12/16,13/16,#FFC663,11.77:1,Pass,#141515,11.77:1,AAA,#515151,#FFC663,5.11:1,AA,2.30:1,Fail,0.341,6765,12.67,78.37,-107.1,8/16,11/16
36,Material Darker,69,#212121,#EEFFFF,15.63:1,AAA,#000000,1.30:1,Fail,#FF5370,5.16:1,AA,#C3E88D,11.69:1,AAA,#FFCB6B,10.74:1,AAA,#82AAFF,7.01:1,AAA,#C792EA,6.69:1,AA,#89DDFF,10.62:1,AAA,#FFFFFF,16.10:1,AAA,#545454,2.13:1,Fail,#FF5370,5.16:1,AA,#C3E88D,11.69:1,AAA,#FFCB6B,10.74:1,AAA,#82AAFF,7.01:1,AAA,#C792EA,6.69:1,AA,#89DDFF,10.62:1,AAA,#FFFFFF,16.10:1,AAA,14/16,14/16,10/16,14/16,#FFFFFF,16.10:1,Pass,#BFBFBF,1.84:1,Fail,#EEFFFF,#545454,7.35:1,AAA,15.63:1,Pass,0.333,6503,0.00,159.95,-103.3,8/16,8/16
37,Peppermint,69,#000000,#C8C8C8,12.55:1,AAA,#353535,1.71:1,Fail,#E74669,5.48:1,AA,#89D287,11.63:1,AAA,#DAB853,10.96:1,AAA,#449FD0,7.12:1,AAA,#DA62DC,6.76:1,AA,#65AAAF,7.92:1,AAA,#B4B4B4,10.13:1,AAA,#535353,2.73:1,Fail,#E4859B,8.13:1,AAA,#A3CCA2,11.72:1,AAA,#E1E487,15.65:1,AAA,#6FBCE2,9.97:1,AAA,#E586E7,8.90:1,AAA,#96DCDB,13.56:1,AAA,#DFDFDF,15.76:1,AAA,14/16,14/16,12/16,14/16,#BBBBBB,10.94:1,Pass,#FFFFFF,1.92:1,Fail,#E6E6E6,#000000,16.83:1,AAA,16.83:1,Pass,0.333,0,12.68,88.83,-73.3,3/16,8/16
38,Modus Operandi Tinted,68,#FBF7F0,#000000,19.66:1,AAA,#000000,19.66:1,AAA,#A60000,7.50:1,AAA,#006800,6.60:1,AA,#6F5500,6.61:1,AA,#0031A9,9.77:1,AAA,#721045,10.48:1,AAA,#005E8B,6.61:1,AA,#A6A6A6,2.28:1,Fail,#595959,6.56:1,AA,#972500,7.62:1,AAA,#00663F,6.62:1,AA,#884900,6.56:1,AA,#3548CF,6.60:1,AA,#531AB6,8.97:1,AAA,#005F5F,7.02:1,AAA,#595959,6.56:1,AA,15/16,15/16,7/16,15/16,#D00000,5.34:1,Pass,#FBF7F0,5.34:1,AA,#C2BCB5,#000000,11.15:1,AAA,1.76:1,Fail,0.315,6114,0.00,124.14,101.5,15/16,15/16
39,Synthwave,67,#000000,#DAD9C7,14.73:1,AAA,#000000,1.00:1,Fail,#F6188F,5.45:1,AA,#1EBB2B,8.20:1,AAA,#FDF834,18.65:1,AAA,#2186EC,5.69:1,AA,#F85A21,6.48:1,AA,#12C3E2,9.93:1,AAA,#FFFFFF,21.00:1,AAA,#7F7094,4.65:1,AA,#F841A0,6.26:1,AA,#25C141,8.78:1,AAA,#FDF454,18.24:1,AAA,#2F9DED,7.17:1,AAA,#F97137,7.45:1,AAA,#19CDE6,10.92:1,AAA,#FFFFFF,21.00:1,AAA,15/16,15/16,10/16,15/16,#19CDE6,10.92:1,Pass,#FFFFED,1.90:1,Fail,#19CDE6,#000000,10.92:1,AAA,10.92:1,Pass,0.333,0,0.00,129.52,-82.9,4/16,6/16
40,Gruber Darker,67,#181818,#E4E4E4,13.97:1,AAA,#181818,1.00:1,Fail,#FF0A36,4.52:1,AA,#42DC00,9.70:1,AAA,#FFDB00,13.01:1,AAA,#92A7CB,7.28:1,AAA,#A095CB,6.47:1,AA,#90AA9E,7.13:1,AAA,#E4E4E4,13.97:1,AAA,#54494E,2.06:1,Fail,#FF3851,5.02:1,AA,#42DC00,9.70:1,AAA,#FFDB00,13.01:1,AAA,#92A7CB,7.28:1,AAA,#AFAFDA,8.43:1,AAA,#90AA9E,7.13:1,AAA,#F5F5F5,16.29:1,AAA,14/16,14/16,11/16,14/16,#FFDB00,13.01:1,Pass,#A6A6A6,1.78:1,Fail,#FFFFFF,#54494E,8.61:1,AAA,17.76:1,Pass,0.333,6503,0.00,102.99,-89.3,4/16,6/16
41,iTerm2 Smoooooth,67,#15191F,#DCDCDC,12.86:1,AAA,#14191E,1.00:1,Fail,#B43C2A,3.04:1,AA-Large,#00C200,7.32:1,AAA,#C7C400,9.51:1,AAA,#2744C7,2.30:1,Fail,#C040BE,3.96:1,AA-Large,#00C5C7,8.24:1,AAA,#C7C7C7,10.43:1,AAA,#686868,3.16:1,AA-Large,#DD7975,5.93:1,AA,#58E790,11.13:1,AAA,#ECE100,12.88:1,AAA,#A7ABF2,8.19:1,AAA,#E17EE1,6.95:1,AA,#60FDFF,14.27:1,AAA,#FFFFFF,17.64:1,AAA,11/16,14/16,9/16,11/16,#FFFFFF,17.64:1,Pass,#000000,21.00:1,AAA,#B3D7FF,#000000,14.08:1,AAA,11.83:1,Pass,0.443,10413,14.23,107.28,-84.2,4/16,6/16
42,Duckbones,67,#0E101A,#EBEFC0,15.92:1,AAA,#0E101A,1.00:1,Fail,#E03600,4.24:1,AA-Large,#5DCD97,9.61:1,AAA,#E39500,7.73:1,AAA,#00A3CB,6.41:1,AA,#795CCC,3.81:1,AA-Large,#00A3CB,6.41:1,AA,#EBEFC0,15.92:1,AAA,#444860,2.11:1,Fail,#FF4821,5.60:1,AA,#58DB9E,10.87:1,AAA,#F6A100,9.04:1,AAA,#00B4E0,7.77:1,AAA,#B3A1E6,8.27:1,AAA,#00B4E0,7.77:1,AAA,#B3B692,9.05:1,AAA,12/16,14/16,9/16,12/16,#EDF2C2,16.32:1,Pass,#0E101A,16.32:1,AAA,#37382D,#EBEFC0,9.99:1,AAA,1.59:1,Fail,0.519,18404,0.00,123.23,-94.5,1/16,5/16
43,GitLab Dark Grey,66,#222222,#FFFFFF,15.91:1,AAA,#000000,1.32:1,Fail,#F57F6C,6.16:1,AA,#52B87A,6.44:1,AA,#D99530,6.28:1,AA,#7FB6ED,7.44:1,AAA,#F88AAF,7.00:1,AAA,#32C5D2,7.62:1,AAA,#FFFFFF,15.91:1,AAA,#666666,2.77:1,Fail,#FCB5AA,9.34:1,AAA,#91D4A8,9.23:1,AAA,#E9BE74,9.15:1,AAA,#498DD1,4.56:1,AA,#FCACC5,8.98:1,AAA,#5EDEE3,9.87:1,AAA,#FFFFFF,15.91:1,AAA,14/16,14/16,10/16,14/16,#FFFFFF,15.91:1,Pass,#BFBFBF,1.84:1,Fail,#AD95E9,#222222,6.25:1,AA,6.25:1,Pass,0.333,6503,0.00,108.68,-105.5,2/16,7/16
44,Violite,66,#241C36,#EEF4F6,14.61:1,AAA,#241C36,1.00:1,Fail,#EC7979,5.85:1,AA,#79ECB3,11.17:1,AAA,#ECE279,12.15:1,AAA,#A979EC,5.12:1,AA,#EC79EC,6.58:1,AA,#79ECEC,11.61:1,AAA,#EEF4F6,14.61:1,AAA,#56447A,1.93:1,Fail,#EF8F8F,6.95:1,AA,#9FEFBF,12.03:1,AAA,#EFE78F,12.75:1,AAA,#B78FEF,6.33:1,AA,#EF8FCF,7.34:1,AAA,#9FEFEF,12.41:1,AAA,#F8FAFC,15.51:1,AAA,14/16,14/16,9/16,14/16,#EEF4F6,14.61:1,Pass,#241C36,14.61:1,AAA,#49376D,#EEF4F6,9.22:1,AAA,1.58:1,Fail,0.558,25000,2.75,105.21,-97.7,8/16,8/16
45,Liquid Carbon Transparent,66,#000000,#AFC2C2,11.32:1,AAA,#000000,1.00:1,Fail,#FF3030,5.72:1,AA,#559A70,6.24:1,AA,#CCAC00,9.47:1,AAA,#0099CC,6.43:1,AA,#CC69C8,6.42:1,AA,#7AC4CC,10.60:1,AAA,#BCCCCC,12.65:1,AAA,#404040,2.03:1,Fail,#FF3030,5.72:1,AA,#559A70,6.24:1,AA,#CCAC00,9.47:1,AAA,#0099CC,6.43:1,AA,#CC69C8,6.42:1,AA,#7AC4CC,10.60:1,AAA,#BCCCCC,12.65:1,AAA,14/16,14/16,6/16,14/16,#FFFFFF,21.00:1,Pass,#000000,21.00:1,AAA,#7DBEFF,#000000,10.68:1,AAA,10.68:1,Pass,0.333,0,0.00,106.07,-67.6,0/16,4/16
46,Adwaita Dark,66,#1D1D20,#FFFFFF,16.82:1,AAA,#241F31,1.05:1,Fail,#C01C28,2.75:1,Fail,#2EC27E,7.31:1,AAA,#F5C211,10.10:1,AAA,#1E78E4,3.89:1,AA-Large,#9841BB,3.05:1,AA-Large,#0AB9DC,7.20:1,AAA,#C0BFBC,9.14:1,AAA,#5E5C64,2.56:1,Fail,#ED333B,4.11:1,AA-Large,#57E389,10.21:1,AAA,#F8E45C,13.01:1,AAA,#51A1FF,6.32:1,AA,#C061CB,4.66:1,AA,#4FD2FD,9.58:1,AAA,#F6F5F4,15.44:1,AAA,10/16,13/16,8/16,10/16,#FFFFFF,16.82:1,Pass,#1D1D20,16.82:1,AAA,#FFFFFF,#5E5C64,6.58:1,AA,16.82:1,Pass,0.370,7345,10.70,120.39,-106.1,2/16,6/16
47,Synthwave Everything,66,#2A2139,#F0EFF1,13.32:1,AAA,#FEFEFE,15.14:1,AAA,#F97E72,6.00:1,AA,#72F1B8,10.90:1,AAA,#FEDE5D,11.51:1,AAA,#6D77B3,3.59:1,AA-Large,#C792EA,6.35:1,AA,#F772E0,6.14:1,AA,#FEFEFE,15.14:1,AAA,#FEFEFE,15.14:1,AAA,#F88414,6.04:1,AA,#72F1B8,10.90:1,AAA,#FFF951,13.76:1,AAA,#36F9F6,11.66:1,AAA,#E1ACFF,8.40:1,AAA,#F92AAD,4.34:1,AA-Large,#FEFEFE,15.14:1,AAA,14/16,16/16,10/16,14/16,#72F1B8,10.90:1,Pass,#1A1A1A,12.42:1,AAA,#181521,#F0EFF1,15.69:1,AAA,1.18:1,Fail,0.516,23697,0.00,105.61,-94.6,9/16,10/16
48,Symfonic,66,#000000,#FFFFFF,21.00:1,AAA,#000000,1.00:1,Fail,#DC322F,4.54:1,AA,#56DB3A,11.59:1,AAA,#FF8400,8.55:1,AAA,#0084D4,5.25:1,AA,#B729D9,4.33:1,AA-Large,#CCCCFF,13.65:1,AAA,#FFFFFF,21.00:1,AAA,#414347,2.12:1,Fail,#DC322F,4.54:1,AA,#56DB3A,11.59:1,AAA,#FF8400,8.55:1,AAA,#0084D4,5.25:1,AA,#B729D9,4.33:1,AA-Large,#CCCCFF,13.65:1,AAA,#FFFFFF,21.00:1,AAA,12/16,14/16,8/16,12/16,#DC322F,4.54:1,Pass,#FFFFFF,4.63:1,AA,#073642,#FFFFFF,13.00:1,AAA,1.62:1,Fail,0.333,0,0.00,105.90,-107.9,4/16,6/16
49,Xcode Light,66,#FFFFFF,#262626,15.13:1,AAA,#B4D8FD,1.48:1,Fail,#D12F1B,5.08:1,AA,#3E8087,4.52:1,AA,#78492A,7.54:1,AAA,#0F68A0,5.99:1,AA,#AD3DA4,5.28:1,AA,#804FB8,5.63:1,AA,#262626,15.13:1,AAA,#8A99A6,2.92:1,Fail,#D12F1B,5.08:1,AA,#23575C,8.11:1,AAA,#78492A,7.54:1,AAA,#0B4F79,8.72:1,AAA,#AD3DA4,5.28:1,AA,#4B21B0,9.80:1,AAA,#262626,15.13:1,AAA,14/16,14/16,7/16,14/16,#262626,15.13:1,Pass,#FFFFFF,15.13:1,AAA,#B4D8FD,#262626,10.22:1,AAA,1.48:1,Fail,0.333,6503,0.00,95.80,102.0,11/16,14/16
50,Jellybeans,66,#121212,#DEDEDE,13.92:1,AAA,#929292,6.02:1,AA,#E27373,6.19:1,AA,#94B979,8.45:1,AAA,#FFBA7B,11.21:1,AAA,#97BEDC,9.56:1,AAA,#E1C0FA,11.71:1,AAA,#00988E,5.25:1,AA,#DEDEDE,13.92:1,AAA,#BDBDBD,9.97:1,AAA,#FFA1A1,9.69:1,AAA,#BDDEAB,12.67:1,AAA,#FFDCA0,14.27:1,AAA,#B1D8F6,12.51:1,AAA,#FBDAFF,14.79:1,AAA,#1AB2A8,7.12:1,AAA,#FFFFFF,18.73:1,AAA,16/16,16/16,13/16,16/16,#FFA560,9.64:1,Pass,#FFFFFF,1.94:1,Fail,#474E91,#F4F4F4,6.90:1,AA,2.47:1,Fail,0.333,6503,9.36,92.04,-86.1,7/16,11/16
51,Challenger Deep,66,#1E1C31,#CBE1E7,12.22:1,AAA,#141228,1.10:1,Fail,#FF5458,5.26:1,AA,#62D196,8.75:1,AAA,#FFB378,9.46:1,AAA,#65B2FF,7.40:1,AAA,#906CFF,4.56:1,AA,#63F2F1,12.25:1,AAA,#A6B3CC,7.85:1,AAA,#565575,2.33:1,Fail,#FF8080,6.84:1,AA,#95FFA4,13.52:1,AAA,#FFE9AA,13.82:1,AAA,#91DDFF,11.05:1,AAA,#C991E1,6.81:1,AA,#AAFFE4,14.33:1,AAA,#CBE3E7,12.39:1,AAA,14/16,14/16,10/16,14/16,#FBFCFC,16.14:1,Pass,#FF271D,3.67:1,AA-Large,#CBE1E7,#1E1C31,12.22:1,AAA,12.22:1,Pass,0.555,25000,18.25,103.57,-84.1,6/16,8/16
52,Kibble,66,#0E100A,#F7F7F7,17.87:1,AAA,#4D4D4D,2.26:1,Fail,#C70031,3.17:1,AA-Large,#29CF13,9.14:1,AAA,#D8E30E,13.59:1,AAA,#3449D1,2.75:1,Fail,#8400FF,3.12:1,AA-Large,#0798AB,5.55:1,AA,#E2D1E3,13.18:1,AAA,#5A5A5A,2.78:1,Fail,#F01578,4.63:1,AA,#6CE05C,11.35:1,AAA,#F3F79E,16.96:1,AAA,#97A4F7,8.17:1,AAA,#C495F0,8.12:1,AAA,#68F2E0,14.00:1,AAA,#FFFFFF,19.14:1,AAA,11/16,13/16,9/16,11/16,#9FDA9C,11.83:1,Pass,#000000,12.98:1,AAA,#9BA787,#000000,8.27:1,AAA,7.54:1,Pass,0.241,5494,5.49,119.55,-102.2,5/16,7/16
53,Detuned,66,#000000,#C7C7C7,12.42:1,AAA,#171717,1.17:1,Fail,#FE4386,6.36:1,AA,#A6E32D,13.65:1,AAA,#E6DA73,14.64:1,AAA,#0094D9,6.24:1,AA,#9B37FF,4.38:1,AA-Large,#50B7D9,9.12:1,AAA,#C7C7C7,12.42:1,AAA,#686868,3.77:1,AA-Large,#FA80AC,8.75:1,AAA,#BDE371,14.39:1,AAA,#FFF27F,18.26:1,AAA,#00BEFF,9.81:1,AAA,#BE9EFF,9.52:1,AAA,#5ED7FF,12.64:1,AAA,#FFFFFF,21.00:1,AAA,13/16,15/16,11/16,13/16,#C7C7C7,12.42:1,Pass,#8C8C8C,1.99:1,Fail,#C1DEFF,#000000,15.16:1,AAA,15.16:1,Pass,0.333,0,9.67,99.20,-72.7,5/16,8/16
54,12-bit Rainbow,65,#040404,#FEFFFF,20.47:1,AAA,#000000,1.02:1,Fail,#A03050,2.96:1,Fail,#40D080,10.30:1,AAA,#E09040,8.04:1,AAA,#3060B0,3.34:1,AA-Large,#603090,2.27:1,Fail,#0090C0,5.61:1,AA,#DBDED8,15.09:1,AAA,#685656,2.98:1,Fail,#C06060,4.96:1,AA,#90D050,11.06:1,AAA,#E0D000,12.88:1,AAA,#00B0C0,7.78:1,AAA,#801070,2.17:1,Fail,#20B0C0,7.84:1,AAA,#FFFFFF,20.50:1,AAA,10/16,11/16,8/16,10/16,#E0D000,12.88:1,Pass,#000000,13.19:1,AAA,#606060,#FFFFFF,6.29:1,AA,3.26:1,Pass,0.333,6503,1.56,127.11,-107.7,3/16,5/16
55,GitHub Dark Colorblind,65,#0D1117,#C9D1D9,12.26:1,AAA,#484F58,2.28:1,Fail,#EC8E2C,7.63:1,AAA,#58A6FF,7.49:1,AAA,#D29922,7.50:1,AAA,#58A6FF,7.49:1,AAA,#BC8CFF,7.51:1,AAA,#39C5CF,9.07:1,AAA,#B1BAC4,9.63:1,AAA,#6E7681,4.12:1,AA-Large,#FDAC54,10.10:1,AAA,#79C0FF,9.73:1,AAA,#E3B341,9.72:1,AAA,#79C0FF,9.73:1,AAA,#D2A8FF,9.72:1,AAA,#56D4DD,10.69:1,AAA,#FFFFFF,18.92:1,AAA,14/16,15/16,14/16,14/16,#58A6FF,7.49:1,Pass,#98E6FF,1.82:1,Fail,#C9D1D9,#0D1117,12.26:1,AAA,12.26:1,Pass,0.471,12174,0.00,85.63,-77.5,1/16,9/16
56,Paul Millr,65,#000000,#F2F2F2,18.76:1,AAA,#2A2A2A,1.46:1,Fail,#FF0000,5.25:1,AA,#79FF0F,16.12:1,AAA,#E7BF00,11.85:1,AAA,#396BD7,4.26:1,AA-Large,#B449BE,4.64:1,AA,#66CCFF,11.65:1,AAA,#BBBBBB,10.94:1,AAA,#666666,3.66:1,AA-Large,#FF0080,5.56:1,AA,#66FF66,16.06:1,AAA,#F3D64E,14.54:1,AAA,#709AED,7.53:1,AAA,#DB67E6,7.09:1,AAA,#7ADFF2,13.66:1,AAA,#FFFFFF,21.00:1,AAA,13/16,15/16,10/16,13/16,#4D4D4D,2.48:1,Fail,#FFFFFF,8.45:1,AAA,#414141,#FFFFFF,10.21:1,AAA,2.06:1,Fail,0.333,0,13.18,108.42,-99.3,5/16,8/16
57,Heeler,65,#211F46,#FDFDFD,15.30:1,AAA,#000000,1.35:1,Fail,#E44C2E,3.98:1,AA-Large,#BDD100,9.11:1,AAA,#F4CE65,10.28:1,AAA,#5BA5F2,6.01:1,AA,#FF95C2,7.66:1,AAA,#FF9763,7.31:1,AAA,#FFFFFF,15.57:1,AAA,#4C4C4C,1.81:1,Fail,#E44C2E,3.98:1,AA-Large,#BDD100,9.11:1,AAA,#F4CE65,10.28:1,AAA,#0088FF,4.42:1,AA-Large,#FF95C2,7.66:1,AAA,#8DA6E4,6.45:1,AA,#FFFFFF,15.57:1,AAA,11/16,14/16,9/16,11/16,#FFFFFF,15.57:1,Pass,#000000,21.00:1,AAA,#2B2C41,#2EFF58,10.11:1,AAA,1.14:1,Fail,0.679,1000,0.00,91.89,-103.7,4/16,8/16
58,Raycast Light,65,#FFFFFF,#000000,21.00:1,AAA,#000000,21.00:1,AAA,#B12424,6.67:1,AA,#006B4F,6.53:1,AA,#F8A300,2.05:1,Fail,#138AF2,3.53:1,AA-Large,#9A1B6E,7.62:1,AAA,#3EB8BF,2.38:1,Fail,#BFBFBF,1.84:1,Fail,#000000,21.00:1,AAA,#B12424,6.67:1,AA,#006B4F,6.53:1,AA,#F8A300,2.05:1,Fail,#138AF2,3.53:1,AA-Large,#9A1B6E,7.62:1,AAA,#3EB8BF,2.38:1,Fail,#FFFFFF,1.00:1,Fail,8/16,10/16,4/16,8/16,#000000,21.00:1,Pass,#404040,2.03:1,Fail,#E5E5E5,#000000,16.67:1,AAA,1.26:1,Fail,0.333,6503,0.00,130.07,106.0,8/16,10/16
59,No Clown Fiesta,65,#101010,#E0E1E4,14.55:1,AAA,#151515,1.04:1,Fail,#B46958,4.62:1,AA,#90A959,7.25:1,AAA,#F4BF75,11.38:1,AAA,#BAD7FF,12.91:1,AAA,#AA759F,5.21:1,AA,#88AFA2,7.88:1,AAA,#E1E1E1,14.55:1,AAA,#727272,3.96:1,AA-Large,#7E97AB,6.25:1,AA,#90A959,7.25:1,AAA,#F4BF75,11.38:1,AAA,#BAD7FF,12.91:1,AAA,#AA759F,5.21:1,AA,#88AFA2,7.88:1,AAA,#AFAFAF,8.67:1,AAA,14/16,15/16,10/16,14/16,#E0E1E4,14.55:1,Pass,#18191B,13.45:1,AAA,#696D79,#E0E1E4,3.95:1,AA-Large,3.68:1,Pass,0.333,6503,0.00,90.42,-88.1,3/16,5/16
60,Galizur,65,#071317,#DDEEFF,15.92:1,AAA,#223344,1.46:1,Fail,#AA1122,2.52:1,Fail,#33AA11,6.19:1,AA,#CCAA22,8.38:1,AAA,#2255CC,2.91:1,Fail,#7755AA,3.29:1,AA-Large,#22BBDD,8.27:1,AAA,#8899AA,6.45:1,AA,#556677,3.19:1,AA-Large,#FF1133,4.83:1,AA,#33FF11,13.86:1,AAA,#FFDD33,14.03:1,AAA,#3377FF,4.69:1,AA,#AA77FF,6.09:1,AA,#33DDFF,11.60:1,AAA,#BBCCDD,11.48:1,AAA,11/16,13/16,6/16,11/16,#DDEEFF,15.92:1,Pass,#071317,15.92:1,AAA,#071317,#DDEEFF,15.92:1,AAA,1.00:1,Fail,0.498,13527,12.30,92.66,-94.8,3/16,4/16
61,Dracula,65,#282A36,#F8F8F2,13.36:1,AAA,#21222C,1.11:1,Fail,#FF5555,4.53:1,AA,#50FA7B,10.38:1,AAA,#F1FA8C,12.74:1,AAA,#BD93F9,5.90:1,AA,#FF79C6,5.97:1,AA,#8BE9FD,10.29:1,AAA,#F8F8F2,13.36:1,AAA,#6272A4,3.03:1,AA-Large,#FF6E6E,5.23:1,AA,#69FF94,11.08:1,AAA,#FFFFA5,13.63:1,AAA,#D6ACFF,7.60:1,AAA,#FF92DF,7.07:1,AAA,#A4FFFF,12.43:1,AAA,#FFFFFF,14.24:1,AAA,14/16,15/16,10/16,14/16,#F8F8F2,13.36:1,Pass,#282A36,13.36:1,AAA,#44475A,#FFFFFF,9.15:1,AAA,1.56:1,Fail,0.454,11062,3.99,161.56,-99.0,8/16,9/16
62,iTerm2 Pastel Dark Background,64,#000000,#C7C7C7,12.42:1,AAA,#626262,3.44:1,AA-Large,#FF8373,8.75:1,AAA,#B4FB73,16.99:1,AAA,#FFFDC3,20.09:1,AAA,#A5D5FE,13.55:1,AAA,#FF90FE,10.67:1,AAA,#D1D1FE,14.26:1,AAA,#F1F1F1,18.59:1,AAA,#8F8F8F,6.49:1,AA,#FFC4BE,13.89:1,AAA,#D6FCBA,18.49:1,AAA,#FFFED5,20.39:1,AAA,#C2E3FF,15.73:1,AAA,#FFB2FE,13.05:1,AAA,#E6E6FE,17.11:1,AAA,#FFFFFF,21.00:1,AAA,15/16,16/16,14/16,15/16,#FFB473,12.03:1,Pass,#8C8C8C,1.93:1,Fail,#454D96,#F4F4F4,6.93:1,AA,2.75:1,Fail,0.333,0,4.85,113.78,-72.7,12/16,13/16
